transaction_id,user_id,merchant_id,amount,status,payment_method,timestamp,churn_label
tx_0,user_3174,m_49,429.44,success,upi,2025-10-14 00:01:19.328527,1
tx_1,user_860,m_141,55.39,success,upi,2025-11-05 03:57:38.328527,0
tx_2,user_1294,m_117,92.65,success,card,2025-11-14 23:14:51.328527,1
tx_3,user_1130,m_136,5.61,success,card,2025-11-29 05:44:44.328527,1
tx_4,user_1095,m_138,184.65,success,card,2025-10-19 11:15:27.328527,0
tx_5,user_3092,m_190,104.46,success,upi,2025-12-26 20:41:21.328527,1
tx_6,user_1638,m_107,51.75,success,upi,2025-12-12 04:44:33.328527,0
tx_7,user_2169,m_66,1.63,success,card,2025-10-30 22:47:17.328527,0
tx_8,user_466,m_180,89.57,success,upi,2025-12-07 16:16:01.328527,1
tx_9,user_1238,m_166,1.27,success,card,2025-10-02 19:25:40.328527,1
tx_10,user_330,m_77,0.12,success,card,2025-12-29 00:02:15.328527,1
tx_11,user_1482,m_183,95.74,success,card,2025-12-01 05:17:47.328527,1
tx_12,user_2135,m_155,20.95,success,card,2025-10-13 03:05:56.328527,0
tx_13,user_3171,m_74,21.31,success,upi,2025-10-21 16:31:08.328527,1
tx_14,user_2919,m_38,105.92,success,card,2025-12-07 22:42:41.328527,0
tx_15,user_130,m_24,5.52,success,card,2025-10-08 00:35:54.328527,0
tx_16,user_1685,m_20,37.6,success,wallet,2025-12-01 18:10:06.328527,1
tx_17,user_769,m_137,16.19,success,upi,2025-11-26 04:30:21.328527,1
tx_18,user_2391,m_170,86.79,success,card,2025-12-23 14:13:40.328527,1
tx_19,user_1515,m_14,108.4,success,card,2025-12-22 06:26:39.328527,1
tx_20,user_2853,m_47,127.7,success,card,2025-10-24 15:32:14.328527,0
tx_21,user_2433,m_85,29.47,success,wallet,2025-12-08 06:21:30.328527,0
tx_22,user_1215,m_148,9.35,success,wallet,2025-11-01 12:46:08.328527,0
tx_23,user_955,m_187,8.2,success,upi,2025-12-24 14:28:13.328527,1
tx_24,user_2324,m_115,55.54,success,card,2025-10-21 02:01:39.328527,0
tx_25,user_1184,m_49,291.59,success,card,2025-10-31 07:35:13.328527,0
tx_26,user_459,m_150,24.56,success,card,2025-10-28 15:58:45.328527,0
tx_27,user_21,m_140,29.67,success,card,2025-12-01 23:03:57.328527,0
tx_28,user_2300,m_68,10.63,success,card,2025-10-06 12:50:21.328527,1
tx_29,user_747,m_3,93.03,success,upi,2025-11-13 13:15:54.328527,0
tx_30,user_2904,m_77,113.9,success,card,2025-12-11 11:00:32.328527,0
tx_31,user_474,m_199,102.98,success,card,2025-10-26 19:28:15.328527,1
tx_32,user_1082,m_8,197.42,success,upi,2025-10-17 05:25:46.328527,0
tx_33,user_2558,m_120,66.64,success,card,2025-10-18 08:30:51.328527,0
tx_34,user_2047,m_114,14.44,success,upi,2025-12-09 00:00:31.328527,1
tx_35,user_2747,m_162,34.17,success,card,2025-11-27 03:42:03.328527,0
tx_36,user_975,m_100,108.6,success,card,2025-11-07 22:45:08.328527,0
tx_37,user_1806,m_148,94.96,success,card,2025-12-16 15:00:22.328527,0
tx_38,user_189,m_185,75.72,success,wallet,2025-10-25 01:17:42.328527,1
tx_39,user_3005,m_145,114.87,success,upi,2025-11-17 13:28:51.328527,1
tx_40,user_2734,m_96,101.44,success,card,2025-11-28 17:21:15.328527,0
tx_41,user_3005,m_199,213.14,success,card,2025-11-15 19:49:45.328527,1
tx_42,user_562,m_80,88.19,success,upi,2025-12-01 12:41:11.328527,0
tx_43,user_1899,m_42,150.78,success,card,2025-12-02 12:35:03.328527,1
tx_44,user_1267,m_94,28.6,success,wallet,2025-12-27 02:07:28.328527,1
tx_45,user_2879,m_5,113.38,success,wallet,2025-11-15 14:58:11.328527,0
tx_46,user_1528,m_66,232.48,success,upi,2025-10-29 14:20:05.328527,1
tx_47,user_3202,m_139,48.73,success,wallet,2025-10-03 04:44:33.328527,0
tx_48,user_646,m_99,151.01,success,card,2025-11-02 23:56:01.328527,1
tx_49,user_2068,m_11,129.02,success,card,2025-11-02 01:57:06.328527,0
tx_50,user_2888,m_65,6.14,success,card,2025-10-30 17:44:55.328527,0
